Filename	TrainValidateTest	Style	Genre	Artist
00067.jpg	train	portrait	Realism	Vasily Vereshchagin
00068.jpg	train	portrait	Realism	John Everett Millais
00069.jpg	train	abstract	Constructivism	Janos Mattis-Teutsch
00070.jpg	train	portrait	Baroque	Anthony van Dyck
00071.jpg	train	portrait	Art Nouveau (Modern)	Sergey Solomko
00072.jpg	train	portrait	Expressionism	Egon Schiele
00073.jpg	train	landscape	Impressionism	John Henry Twachtman
00074.jpg	train	landscape	Neo-baroque	Giorgio de Chirico
00075.jpg	train	abstract	Abstract Art	Ion Alin Gheorghiu
00076.jpg	train	abstract	Tachisme	Alexandre Istrati
00077.jpg	train	portrait	Socialist Realism	Konstantin Yuon
00078.jpg	train	landscape	Impressionism	Claude Monet
00079.jpg	train	abstract	Spatialism	Giulio Turcato
00080.jpg	train	portrait	Expressionism	Jean Helion
00081.jpg	train	landscape	Symbolism	Mikalojus Ciurlionis
00082.jpg	train	landscape	Cubism	Paul Cezanne
00083.jpg	train	abstract	Hard Edge Painting	Jean-Paul Jerome
00084.jpg	train	landscape	Naturalism	Alfred Parsons
00085.jpg	train	portrait	Realism	Camille Corot
00086.jpg	train	abstract	Abstract Expressionism	Edward Corbett
00087.jpg	train	landscape	Realism	James McNeill Whistler
00088.jpg	train	landscape	Ukiyo-e	Utagawa Toyokuni II
00089.jpg	train	portrait	Post-Impressionism	Francisc Sirato
00090.jpg	train	landscape	Symbolism	Gustave Moreau
00091.jpg	train	self-portrait	Realism	António de Carvalho da Silva Porto
00092.jpg	train	landscape	Sōsaku hanga	Unichi Hiratsuka
00093.jpg	train	portrait	Art Nouveau (Modern)	Richard Gerstl
00094.jpg	train	portrait	Romanticism	Charles Turner
00095.jpg	train	portrait	Expressionism	Frantisek Kupka
00096.jpg	train	landscape	Realism	Vasily Polenov
00097.jpg	train	portrait	Neoclassicism	Jean Auguste Dominique Ingres
00098.jpg	train	portrait	Rococo	Vladimir Borovikovsky
00099.jpg	train	landscape	Post-Impressionism	Paul Cezanne
00100.jpg	train	landscape	Neo-Figurative Art	Brett Whiteley
00101.jpg	train	abstract	Precisionism	Georgia O'Keeffe
00102.jpg	train	landscape	Realism	Isaac Levitan
00103.jpg	train	abstract	Neo-Dada	Gene Davis
00104.jpg	train	portrait	Impressionism	Pierre-Auguste Renoir
00105.jpg	train	portrait	Symbolism	Gustav Klimt
00106.jpg	train	landscape	Ukiyo-e	Katsushika Hokusai
00107.jpg	train	portrait	Rococo	Vladimir Borovikovsky
00108.jpg	train	abstract	Art Informel	Aurel Cojan
00109.jpg	train	abstract	Suprematism	El Lissitzky
00110.jpg	train	landscape	New Realism	John French Sloan
00111.jpg	train	portrait	Rococo	Thomas Lawrence
00112.jpg	train	portrait	Expressionism	Ligia Macovei
00113.jpg	train	landscape	Impressionism	Childe Hassam
00114.jpg	train	abstract	Nouveau Réalisme	Mimmo Rotella
00115.jpg	train	portrait	Symbolism	Henri Fantin-Latour
00116.jpg	train	landscape	Art Nouveau (Modern)	Galileo Chini
00117.jpg	train	landscape	Impressionism	Ivan Grohar
00118.jpg	train	abstract	Constructivism	Peter Laszlo Peri
00119.jpg	train	landscape	Romanticism	Thomas Cole
00120.jpg	train	portrait	Neoclassicism	Andre Derain
00121.jpg	train	abstract	Abstract Art	Sophie Taeuber-Arp
00122.jpg	train	landscape	Fauvism	Armand Guillaumin
00123.jpg	train	landscape	Romanticism	Samuel Palmer
00124.jpg	train	abstract	Art Informel	Omer Uluc
00125.jpg	train	landscape	Cubism	Georges Braque
00126.jpg	train	portrait	Baroque	Adriaen van Ostade
00127.jpg	train	landscape	Realism	Charles-Francois Daubigny
00128.jpg	train	portrait	Realism	Thomas Eakins
00129.jpg	train	abstract	Post-Painterly Abstraction	Robert Goodnough
00130.jpg	train	landscape	Realism	Gustave Courbet
00131.jpg	train	abstract	Nouveau Réalisme	Oskar Holweck
00132.jpg	train	abstract	Tachisme	Emil Schumacher
00133.jpg	train	landscape	Realism	Thomas Eakins
00134.jpg	train	abstract	Op Art	Al Held
00135.jpg	train	portrait	Impressionism	Piet Mondrian
00136.jpg	train	portrait	Impressionism	T. C. Steele
00137.jpg	train	portrait	Constructivism	Oskar Schlemmer
00138.jpg	train	portrait	Realism	Boris Kustodiev
00139.jpg	train	abstract	Lyrical Abstraction	Rene Duvillier
00140.jpg	train	abstract	Abstract Expressionism	Arthur Pinajian
00141.jpg	train	portrait	Surrealism	Salvador Dali
00142.jpg	train	portrait	Academicism	Christina Robertson
00143.jpg	train	landscape	Rococo	Hubert Robert
00144.jpg	train	portrait	Realism	Boris Kustodiev
00145.jpg	train	abstract	Lyrical Abstraction	Alfred Manessier
00146.jpg	train	abstract	Spatialism	Mathias Goeritz
00147.jpg	train	portrait	Realism	Valentin Serov
00148.jpg	train	abstract	Art Informel	Eugene Brands
00149.jpg	train	portrait	Romanticism	Edwin Henry Landseer
00150.jpg	train	abstract	Color Field Painting	Gene Davis
00151.jpg	train	abstract	Lyrical Abstraction	Giulio Turcato
00152.jpg	train	portrait	Baroque	Antoine Pesne
00153.jpg	train	abstract	Abstract Expressionism	Alice Baber
00154.jpg	train	portrait	Romanticism	Constantin Daniel Rosenthal
00155.jpg	train	landscape	Magic Realism	Eyvind Earle
00156.jpg	train	portrait	Post-Impressionism	Stefan Luchian
00157.jpg	train	abstract	Art Informel	Afro
00158.jpg	train	landscape	Impressionism	Lovis Corinth
00159.jpg	train	portrait	Expressionism	Egon Schiele
00160.jpg	train	portrait	Art Brut	Gaston Chaissac
00161.jpg	train	abstract	Action painting	Franz Kline
00162.jpg	train	portrait	Magic Realism	Christian Schad
00163.jpg	train	portrait	Expressionism	Candido Portinari
00164.jpg	train	landscape	Realism	Camille Corot
00165.jpg	train	portrait	Symbolism	Kuzma Petrov-Vodkin
00166.jpg	train	portrait	Impressionism	Camille Pissarro
00167.jpg	train	landscape	Expressionism	Vilho Lampi
00168.jpg	train	portrait	Romanticism	Karl Bryullov
00169.jpg	train	portrait	Synthetic Cubism	Juan Gris
00170.jpg	train	portrait	Expressionism	Ernst Ludwig Kirchner
00171.jpg	train	landscape	Realism	Wilhelm Trubner
00172.jpg	train	abstract	Tachisme	Jean Bertholle
00173.jpg	train	portrait	Baroque	Nicolaes Maes
00174.jpg	train	abstract	Minimalism	Agnes Martin
00175.jpg	train	landscape	Impressionism	Eva Gonzales
00176.jpg	train	landscape	Post-Impressionism	Constantin Piliuta
00177.jpg	train	abstract	Minimalism	John McLaughlin
00178.jpg	train	portrait	Rococo	Joshua Reynolds
00179.jpg	train	portrait	Realism	Giovanni Boldini
00180.jpg	train	portrait	Baroque	Frans Hals
00181.jpg	train	landscape	Realism	Vincent van Gogh
00182.jpg	train	landscape	Ukiyo-e	Katsushika Hokusai
00183.jpg	train	portrait	Realism	Albert Anker
00184.jpg	train	landscape	Realism	Homer Watson
00185.jpg	train	portrait	Neoclassicism	John Singleton Copley
00186.jpg	train	abstract	Post-Painterly Abstraction	Kuno Gonschior
00187.jpg	train	abstract	Concretism	Marcelle Cahn
00188.jpg	train	portrait	Art Nouveau (Modern)	Felix Vallotton 
00189.jpg	train	landscape	Surrealism	Salvador Dali
00190.jpg	train	abstract	Art Informel	Sadamasa Motonaga
00191.jpg	train	portrait	Early Renaissance	Antonello da Messina
00192.jpg	train	landscape	Impressionism	Robert Julian Onderdonk
00193.jpg	train	landscape	Impressionism	Cornelis Vreedenburgh
00194.jpg	train	portrait	Rococo	William Hogarth
00195.jpg	train	landscape	Post-Impressionism	Samuel Peploe
00196.jpg	train	portrait	Impressionism	William Merritt Chase
00197.jpg	train	portrait	Neoclassicism	Giovanni Battista Piranesi
00198.jpg	train	portrait	Cubism	Pyotr Konchalovsky
00199.jpg	train	portrait	Realism	Christian Wilhelm Allers
00200.jpg	train	portrait	Northern Renaissance	Bernhard Strigel
00201.jpg	train	abstract	Abstract Art	Josef Sima
00202.jpg	train	abstract	Pop Art	Burhan Dogancay
00203.jpg	train	landscape	Ink and wash painting	Wu Guanzhong
00204.jpg	train	landscape	Impressionism	Claude Monet
00205.jpg	train	abstract	Surrealism	Joan Miro
00206.jpg	train	landscape	Cubism	Karl Knaths
00207.jpg	train	portrait	Expressionism	Henri Matisse
00208.jpg	train	portrait	Post-Impressionism	Pyotr Konchalovsky
00209.jpg	train	abstract	Op Art	Thomas Downing
00210.jpg	train	portrait	Art Nouveau (Modern)	Wilhelm Kotarbinski
00211.jpg	train	landscape	Post-Impressionism	Paul Gauguin
00212.jpg	train	abstract	Abstract Expressionism	Sam Francis
00213.jpg	train	abstract	Surrealism	Boris Margo
00214.jpg	train	landscape	Impressionism	Georges Seurat
00215.jpg	train	portrait	Romanticism	John Everett Millais
00216.jpg	train	landscape	Impressionism	Armand Guillaumin
00217.jpg	train	portrait	Realism	Gustave Courbet
00218.jpg	train	abstract	Op Art	Dieter Roth
00219.jpg	train	landscape	Post-Impressionism	Pierre Bonnard
00220.jpg	train	abstract	Art Informel	Jean-Michel Atlan
00221.jpg	train	landscape	Realism	Fyodor Vasilyev
00222.jpg	train	abstract	Abstract Expressionism	Jimmy Ernst
00223.jpg	train	abstract	Abstract Expressionism	Roberto Matta
00224.jpg	train	landscape	Divisionism	Henri Martin
00225.jpg	train	landscape	Symbolism	Konstantinos Parthenis
00226.jpg	train	portrait	Expressionism	Ernst Ludwig Kirchner
00227.jpg	train	portrait	Expressionism	Amedeo Modigliani
00228.jpg	train	portrait	Romanticism	Orest Kiprensky
00229.jpg	train	portrait	Post-Impressionism	Emile Bernard
00230.jpg	train	portrait	Impressionism	Lilla Cabot Perry
00231.jpg	train	landscape	Romanticism	Albert Bierstadt
00232.jpg	train	landscape	Ukiyo-e	Hiroshige
00233.jpg	train	landscape	Impressionism	Childe Hassam
00234.jpg	train	landscape	Post-Impressionism	Gustave Loiseau
00235.jpg	train	landscape	Surrealism	Jacques Hérold
00236.jpg	train	abstract	Lyrical Abstraction	Olivier Debre
00237.jpg	train	portrait	Baroque	Frans Hals
00238.jpg	train	portrait	Realism	Ilya Repin
00239.jpg	train	abstract	Op Art	Thomas Downing
00240.jpg	train	portrait	Impressionism	Pierre-Auguste Renoir
00241.jpg	train	portrait	New Realism	John French Sloan
00242.jpg	train	landscape	Luminism	David Johnson
00243.jpg	train	abstract	Neoplasticism	Theo van Doesburg
00244.jpg	train	portrait	Impressionism	Edouard Manet
00245.jpg	train	portrait	Social Realism	Norman Rockwell
00246.jpg	train	landscape	Northern Renaissance	Pieter Bruegel the Elder
00247.jpg	train	portrait	Rococo	George Romney
00248.jpg	train	landscape	Impressionism	Alfred Sisley
00249.jpg	train	landscape	Impressionism	Pierre-Auguste Renoir
00250.jpg	train	landscape	Post-Impressionism	Grégoire Michonze
00251.jpg	train	landscape	Pointillism	Georges Seurat
00252.jpg	train	landscape	Cubism	Paul Cezanne
00253.jpg	train	portrait	Realism	Ivan Kramskoy
00254.jpg	train	portrait	American Realism	Robert Henri
00255.jpg	train	portrait	Post-Impressionism	Henri Matisse
00256.jpg	train	self-portrait	Impressionism	Frederic Bazille
00257.jpg	train	portrait	Romanticism	Konstantin Makovsky
00258.jpg	train	portrait	Neoclassicism	John Singleton Copley
00259.jpg	train	portrait	Surrealism	Max Ernst
00260.jpg	train	portrait	Baroque	Francisco de Zurbaran
00261.jpg	train	abstract	Lyrical Abstraction	Friedel Dzubas
00262.jpg	train	portrait	Mannerism (Late Renaissance)	Tintoretto
00263.jpg	train	portrait	Expressionism	Amedeo Modigliani
00264.jpg	train	landscape	Post-Impressionism	Theo van Rysselberghe
00265.jpg	train	landscape	Impressionism	Winston Churchill
00266.jpg	train	portrait	Northern Renaissance	Hans Holbein the Younger
00267.jpg	train	abstract	Tachisme	Jiro Yoshihara
00268.jpg	train	abstract	Abstract Art	no. 817B
00269.jpg	train	portrait	High Renaissance	Pietro Perugino
00270.jpg	train	abstract	Abstract Art	Alexej von Jawlensky
00271.jpg	train	portrait	Realism	John Singer Sargent
00272.jpg	train	portrait		Sanyu
00273.jpg	train	portrait	Post-Impressionism	Augustus John
00274.jpg	train	portrait	Realism	Boris Kustodiev
00275.jpg	train	self-portrait	Surrealism	Georges Papazoff
00276.jpg	train	portrait	Realism	Antonio Carneiro
00277.jpg	train	portrait	Cubism	M. H. Maxy
00278.jpg	train	portrait	Neoclassicism	Jean Auguste Dominique Ingres
00279.jpg	train	landscape	Realism	Theodor Aman
00280.jpg	train	abstract	Art Informel	Giuseppe Santomaso
00281.jpg	train	landscape	Romanticism	David Cox
00282.jpg	train	abstract	Abstract Expressionism	Bradley Walker Tomlin
00283.jpg	train	landscape	Naïve Art (Primitivism)	Henri Rousseau
00284.jpg	train	abstract	Abstract Art	Istvan Molnar
00285.jpg	train	landscape	Surrealism	Zdislav Beksinski
00286.jpg	train	abstract	Abstract Expressionism	Paul Guiragossian
00287.jpg	train	portrait	Expressionism	Ernst Ludwig Kirchner
00288.jpg	train	abstract	Color Field Painting	Leon Berkowitz
00289.jpg	train	abstract	Futurism	Umberto Boccioni
00290.jpg	train	landscape	Expressionism	John Bratby
00291.jpg	train	abstract	Concretism	Gunter Fruhtrunk
00292.jpg	train	landscape	Impressionism	Gustave de Smet
00293.jpg	train	portrait	Northern Renaissance	Lucas Cranach the Elder
00294.jpg	train	portrait	Ukiyo-e	Keisai Eisen
00295.jpg	train	portrait	Ukiyo-e	Utagawa Kunisada
00296.jpg	train	portrait	Realism	Octav Bancila
00297.jpg	train	portrait	Mannerism (Late Renaissance)	El Greco
00298.jpg	train	portrait	Rococo	Antoine Pesne
00299.jpg	train	portrait	Impressionism	Lilla Cabot Perry
00300.jpg	train	landscape	Realism	Ivan Shishkin
00301.jpg	train	portrait	Academicism	Henryk Siemiradzki
00302.jpg	train	landscape	Naïve Art (Primitivism)	Andre Bauchant
00303.jpg	train	landscape	Impressionism	Valentin Serov
00304.jpg	train	portrait	Impressionism	Mary Cassatt
00305.jpg	train	portrait	Surrealism	Pablo Picasso
00306.jpg	train	landscape	Romanticism	John Constable
00307.jpg	train	abstract	Color Field Painting	Gene Davis
00308.jpg	train	abstract	Art Informel	Albert Rafols-Casamada
00309.jpg	train	abstract	Lyrical Abstraction	Gustave Singier
00310.jpg	train	portrait	Expressionism	Nikolaos Lytras
00311.jpg	train	landscape	Impressionism	Winston Churchill
00312.jpg	train	abstract	Minimalism	Jean Degottex
00313.jpg	train	landscape	Realism	Theodore Rousseau
00314.jpg	train	abstract	Tachisme	Gerard Schneider
00315.jpg	train	abstract	Abstract Expressionism	Mark Tobey
00316.jpg	train	landscape	Romanticism	John Constable
00317.jpg	train	portrait	Impressionism	Willard Metcalf
00318.jpg	train	self-portrait	Expressionism	M.F. Husain
00319.jpg	train	abstract	Color Field Painting	Doug Ohlson
00320.jpg	train	landscape	Realism	Ivan Shishkin
00321.jpg	train	landscape	Realism	Hans Heysen
00322.jpg	train	portrait	Romanticism	Thomas Sully
00323.jpg	train	landscape	Post-Impressionism	Constantine Maleas
00324.jpg	train	landscape	Shin-hanga	Hasui Kawase
00325.jpg	train	portrait	Rococo	Joshua Reynolds
00326.jpg	train	abstract	Surrealism	Joan Miro
00327.jpg	train	abstract	Minimalism	Agnes Martin
00328.jpg	train	landscape	Romanticism	Taras Shevchenko
00329.jpg	train	portrait	Expressionism	Corneliu Baba
00330.jpg	train	abstract	Abstract Expressionism	Richard Pousette-Dart
00331.jpg	train	landscape	Post-Impressionism	Theo van Doesburg
00332.jpg	train	portrait	Post-Impressionism	Bertalan Por
00333.jpg	train	portrait	Baroque	John Riley
00334.jpg	train	landscape	Post-Impressionism	Oleksandr Bogomazov
00335.jpg	train	abstract	Constructivism	Erich Buchholz
00336.jpg	train	landscape	Impressionism	William Merritt Chase
00337.jpg	train	landscape	Neo-Romanticism	Stanley Spencer
00338.jpg	train	landscape	Realism	Ivan Shishkin
00339.jpg	train	landscape	Realism	Gustave Courbet
00340.jpg	train	landscape	Impressionism	Lilla Cabot Perry
00341.jpg	train	portrait	Verism	Otto Dix
00342.jpg	train	landscape	Neo-Romanticism	Stanley Spencer
00343.jpg	train	portrait	Rococo	Maurice Quentin de La Tour
00344.jpg	train	portrait	Mannerism (Late Renaissance)	El Greco
00345.jpg	train	portrait	Post-Impressionism	Arturo Souto
00346.jpg	train	portrait	Romanticism	Orest Kiprensky
00347.jpg	train	portrait	Rococo	George Romney
00348.jpg	train	portrait	Northern Renaissance	Albrecht Durer
00349.jpg	train	portrait	Neoclassicism	John Singleton Copley
00350.jpg	train	landscape	Romanticism	Ivan Aivazovsky
00351.jpg	train	abstract	Art Informel	Antoni Tapies
00352.jpg	train	landscape	Realism	Vasily Polenov
00353.jpg	train	abstract	Hard Edge Painting	Frederick Hammersley
00354.jpg	train	portrait	Rococo	Joshua Reynolds
00355.jpg	train	landscape	Realism	Thomas Eakins
00356.jpg	train	landscape	Impressionism	Claude Monet
00357.jpg	train	portrait	Romanticism	Konstantin Makovsky
00358.jpg	train	portrait	Post-Impressionism	Tivadar Kosztka Csontvary
00359.jpg	train	portrait	Realism	Ivan Kramskoy
00360.jpg	train	abstract	Art Informel	Jean-Michel Atlan
00361.jpg	train	portrait	Realism	Vasily Polenov
00362.jpg	train	landscape	Impressionism	Edgar Degas
00363.jpg	train	landscape	Expressionism	Endre Bartos
00364.jpg	train	portrait	Impressionism	Nicolae Grigorescu
00365.jpg	train	self-portrait	Rococo	Thomas Gainsborough
00366.jpg	train	portrait	Early Renaissance	Andrea del Castagno
00367.jpg	train	portrait	Rococo	Dmitry Levitzky
00368.jpg	train	portrait	Rococo	Louise Elisabeth Vigee Le Brun
00369.jpg	train	landscape	Impressionism	Willard Metcalf
00370.jpg	train	portrait	Realism	William Merritt Chase
00371.jpg	train	portrait	Fauvism	Max Weber
00372.jpg	train	landscape	Luminism	Albert Bierstadt
00373.jpg	train	abstract	Abstract Expressionism	Richards Ruben
00374.jpg	train	portrait	Art Nouveau (Modern)	Jacek Malczewski
00375.jpg	train	portrait	Impressionism	William Merritt Chase
00376.jpg	train	landscape	Expressionism	Martiros Saryan
00377.jpg	train	landscape	Art Nouveau (Modern)	Ivan Bilibin
00378.jpg	train	landscape	Romanticism	Sydney Laurence
00379.jpg	train	self-portrait	Rococo	Thomas Gainsborough
00380.jpg	train	portrait	Post-Impressionism	Augustus John
00381.jpg	train	abstract	Surrealism	Enrico Donati
00382.jpg	train	landscape	Impressionism	Gustave Caillebotte
00383.jpg	train	portrait	Academicism	Christina Robertson
00384.jpg	train	abstract	Tachisme	Georges Mathieu
00385.jpg	train	portrait	Baroque	Gerrit Dou
00386.jpg	train	landscape	Japonism	Samuel Mutzner
00387.jpg	train	landscape	Realism	Ivan Shishkin
00388.jpg	train	landscape	Expressionism	Tivadar Kosztka Csontvary
00389.jpg	train	portrait	Romanticism	Francisco Goya
00390.jpg	train	landscape	Impressionism	Camille Pissarro
00391.jpg	train	portrait	Cubism	Juan Gris
00392.jpg	train	landscape	Impressionism	 Thalia Flora-Karavia 
00393.jpg	train	portrait	Baroque	Aleksey Antropov
00394.jpg	train	abstract	Abstract Expressionism	Kenzo Okada
00395.jpg	train	portrait	Art Deco	Tamara de Lempicka
00396.jpg	train	landscape	Romanticism	Thomas Cole
00397.jpg	train	portrait	Art Nouveau (Modern)	Raphael Kirchner
00398.jpg	train	landscape	Post-Impressionism	Gustave Loiseau
00399.jpg	train	portrait	Impressionism	John Singer Sargent
00400.jpg	train	landscape	Impressionism	Alfred Sisley
00401.jpg	train	portrait	Post-Impressionism	Henri de Toulouse-Lautrec
00402.jpg	train	abstract	Abstract Expressionism	Alfred Jensen
00403.jpg	train	landscape	Post-Impressionism	Vincent van Gogh
00404.jpg	train	portrait	Academicism	Eugene de Blaas
00405.jpg	train	portrait	Romanticism	Gabriel von Max
00406.jpg	train	landscape	Realism	Theodore Rousseau
00407.jpg	train	abstract	Surrealism	Jagdish Swaminathan
00408.jpg	train	portrait	Romanticism	Joseph Wright
00409.jpg	train	abstract	Abstract Expressionism	Gunther Forg
00410.jpg	train	portrait	Art Nouveau (Modern)	Gustav Klimt
00411.jpg	train	portrait	Mannerism (Late Renaissance)	Parmigianino
00412.jpg	train	portrait		Auguste Edouart
00413.jpg	train	landscape	Post-Impressionism	Cuno Amiet
00414.jpg	train	landscape	Impressionism	Niccolo Cannicci
00415.jpg	train	portrait	Impressionism	Alexej von Jawlensky
00416.jpg	train	portrait	Cubism	Olga Rozanova
00417.jpg	train	abstract	Tachisme	Hans Hartung
00418.jpg	train	landscape	Realism	Isaac Levitan
00419.jpg	train	landscape	Romanticism	Caspar David Friedrich
00420.jpg	train	portrait	Symbolism	Kuzma Petrov-Vodkin
00421.jpg	train	abstract	Precisionism	Georgia O'Keeffe
00422.jpg	train	abstract	Minimalism	Sol LeWitt
00423.jpg	train	landscape	Naïve Art (Primitivism)	Grandma Moses
00424.jpg	train	landscape	Impressionism	Alfred Sisley
00425.jpg	train	portrait	Romanticism	John Crome
00426.jpg	train	landscape		Katsushika Hokusai
00427.jpg	train	portrait	Realism	Ivan Kramskoy
00428.jpg	train	portrait	Ukiyo-e	Kitagawa Utamaro
00429.jpg	train	landscape	Romanticism	Ivan Aivazovsky
00430.jpg	train	landscape	Impressionism	Odilon Redon
00431.jpg	train	portrait		Thomas Sully
00432.jpg	train	landscape	Realism	Viktor Vasnetsov
00433.jpg	train	portrait	Pointillism	Camille Pissarro
00434.jpg	train	landscape	Realism	Vasily Vereshchagin
00435.jpg	train	portrait	Art Nouveau (Modern)	Henri de Toulouse-Lautrec
00436.jpg	train	landscape	Romanticism	Thomas Cole
00437.jpg	train	landscape	Post-Impressionism	Pierre Bonnard
00438.jpg	train	landscape		M.C. Escher
00439.jpg	train	portrait	Impressionism	Camille Pissarro
00440.jpg	train	portrait	Romanticism	Karl Bryullov
00441.jpg	train	landscape	Romanticism	James Webb 
00442.jpg	train	landscape	Post-Impressionism	Theophrastos Triantafyllidis
00443.jpg	train	portrait	Rococo	Thomas Gainsborough
00444.jpg	train	abstract	Lyrical Abstraction	Jean Degottex
00445.jpg	train	portrait	Baroque	Anthony van Dyck
00446.jpg	train	abstract	Concretism	Adolf Fleischmann
00447.jpg	train	portrait	Realism	Vasily Vereshchagin
00448.jpg	train	landscape	Naïve Art (Primitivism)	Henri Rousseau
00449.jpg	train	portrait	Realism	Ilya Repin
00450.jpg	train	abstract	Color Field Painting	Mark Rothko
00451.jpg	train	abstract	Minimalism	Agnes Martin
00452.jpg	train	landscape	Realism	Gustave Courbet
00453.jpg	train	landscape	Romanticism	Ivan Aivazovsky
00454.jpg	train	portrait	Post-Impressionism	Henri de Toulouse-Lautrec
00455.jpg	train	landscape	Impressionism	Alfred Sisley
00456.jpg	train	portrait	Romanticism	David Wilkie
00457.jpg	train	landscape	Post-Impressionism	Maurice Prendergast
00458.jpg	train	portrait	Impressionism	Mary Cassatt
00459.jpg	train	portrait	Rococo	George Romney
00460.jpg	train	landscape	Realism	Theodore Rousseau
00461.jpg	train	landscape	New Realism	John French Sloan
00462.jpg	train	portrait	Romanticism	Philipp Otto Runge
00463.jpg	train	abstract	Art Informel	Maurice Esteve
00464.jpg	train	abstract	Art Informel	Jacques Busse
00465.jpg	train	landscape	Romanticism	John Atkinson Grimshaw
00466.jpg	train	landscape	Expressionism	Egon Schiele
00467.jpg	train	abstract	Abstract Expressionism	Perle Fine
00468.jpg	train	self-portrait	Post-Impressionism	Francisc Sirato
00469.jpg	train	landscape	Impressionism	Childe Hassam
00470.jpg	train	portrait	Romanticism	Thomas Sully
00471.jpg	train	landscape	Romanticism	Lev Lagorio
00472.jpg	train	portrait	Realism	Valentin Serov
00473.jpg	train	self-portrait	Romanticism	Louis Janmot
00474.jpg	train	abstract	Minimalism	Jean Degottex
00475.jpg	train	abstract	Abstract Art	Michel Seuphor
00476.jpg	train	portrait	Art Nouveau (Modern)	Ferdinand Hodler
